current_round,start_aggregation,end_aggregation,participant count,actual partipants
3,1743026902.407496,1743026913.252002,3,"['5bc4ab8b-2318-42ec-b971-cca004526bde', '6d8ed8af-dbfa-432b-b538-bbae48e8f9c2', 'ebede549-d96d-41aa-b318-18f456e32be8']"
4,1743026915.624607,1743026929.269822,3,"['5bc4ab8b-2318-42ec-b971-cca004526bde', '6d8ed8af-dbfa-432b-b538-bbae48e8f9c2', 'ebede549-d96d-41aa-b318-18f456e32be8']"
5,1743026931.6974342,1743026943.426516,3,"['5bc4ab8b-2318-42ec-b971-cca004526bde', '6d8ed8af-dbfa-432b-b538-bbae48e8f9c2', 'ebede549-d96d-41aa-b318-18f456e32be8']"
6,1743026948.072045,1743026960.484996,3,"['5bc4ab8b-2318-42ec-b971-cca004526bde', '6d8ed8af-dbfa-432b-b538-bbae48e8f9c2', 'ebede549-d96d-41aa-b318-18f456e32be8']"
7,1743026964.3825831,1743026975.441886,3,"['5bc4ab8b-2318-42ec-b971-cca004526bde', '6d8ed8af-dbfa-432b-b538-bbae48e8f9c2', 'ebede549-d96d-41aa-b318-18f456e32be8']"
8,1743026977.182225,1743026989.532934,3,"['5bc4ab8b-2318-42ec-b971-cca004526bde', '6d8ed8af-dbfa-432b-b538-bbae48e8f9c2', 'ebede549-d96d-41aa-b318-18f456e32be8']"
9,1743026991.1970382,1743027007.7030048,3,"['5bc4ab8b-2318-42ec-b971-cca004526bde', '6d8ed8af-dbfa-432b-b538-bbae48e8f9c2', 'ebede549-d96d-41aa-b318-18f456e32be8']"
10,1743027011.1971781,1743027022.954249,3,"['5bc4ab8b-2318-42ec-b971-cca004526bde', '6d8ed8af-dbfa-432b-b538-bbae48e8f9c2', 'ebede549-d96d-41aa-b318-18f456e32be8']"
10,1743027026.2115571,1743027026.2118988
1,1743027310.670696,1743027339.8495512,3,"['186e992a-adf9-45e5-9c0b-bd7f68014691', '3e1cbfdc-00c4-441b-8e04-3e0cda26c864', 'dec18879-66d5-405e-bf48-14a06f70acec']"
